dataset_group,source_bucket,source_type,clip_id,split,spk,titulo,clip,n_frames,text_large_existing,mp4_gcs_path,npz_gcs_path,txt_gcs_path,has_mp4,has_npz,has_txt,url,url_confidence,source_context_status,notes
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0011,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,136,fui a viaje a montreal quebec canada,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0012,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,112,donde se habla frances no una ciudad super super linda,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0013,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,156,tengo varios amigos que viven en montreal especialmente en montreal  especialmente durante el verano en montreal,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0013.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0013.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0013.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0014,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,110,es espectacular y deberian ir a montreal por favor,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0014.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0014.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0014.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0015,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,165,bueno les cuento ni bien llegaba al hotel donde me estaba quedando en montreal con mis amigos,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0015.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0015.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0015.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0016,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,160,yo entraba primero mis amigos se quedaron agarraron todas sus valijas y todo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0016.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0016.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0016.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0017,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,140,mientras yo estaba entrando al hotel para subir al lobby y hacer el checkin y todo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0017.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0017.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0017.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0018,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,127,entro al ascensor y entran dos personas mas,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0018.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0018.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0018.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0019,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0019,99,dos tipos que se veian como que si fuesen amigos,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0019.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0019.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0019.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0020,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0020,119,hablando en frances nada mas no completamente en frances,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0020.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0020.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0020.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0021,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0021,156,quebecois de quebec y yo ahi tranquilo solito,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0021.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0021.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0021.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0022,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0022,167,no pasaba nada y empece a darme cuenta de que estos pibes estos tipos,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0022.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0022.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0022.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0023,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0023,118,estaban burlando de mi y me estaba dando cuenta de eso,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0023.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0023.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0023.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0024,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0024,118,dije para un poco se estan burlando de mi,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0024.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0024.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0024.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0025,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0025,130,esto no es justo y mientras yo trataba de entender,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0025.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0025.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0025.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0026,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0026,152,no entendia nada me veian se reian de mi,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0026.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0026.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0026.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0027,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0027,88,como que uno hizo asi me tocaba,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0027.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0027.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0027.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0028,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0028,187,no y yo en ese momento dije para que pasa porque escuche la palabra americano,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0028.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0028.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0028.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0029,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0029,198,o no se algo asi y dije estos tipos saben y piensan y se estan burlando de mi,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0029.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0029.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0029.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0030,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0030,207,porque soy de estados unidos no y dije les voy a pegar con una noticia,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0030.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0030.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0030.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0031,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0031,135,y les voy a mentir y ver su reaccion entonces yo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0031.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0031.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0031.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0032,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0032,155,de repente como que me tocaban y dije para no entiendo lo que me estas diciendo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0032.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0032.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0032.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0033,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0033,130,hablame en castellano y no sabes como le cambiaron,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0033.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0033.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0033.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0034,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0034,202,no sabes como les cambio la cara como que dijo eh where are you from,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0034.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0034.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0034.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0035,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0035,121,y yo yo soy de argentina que queres me dijo argentina,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0035.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0035.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0035.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0036,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0036,118,messi oh como esta le cambio su actitud,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0036.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0036.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0036.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0037,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0037,87,y me dijo por completo al cien por ciento,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0037.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0037.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0037.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0038,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0038,104,y de repente como en dos segundos eramos amigos no,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0038.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0038.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0038.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0039,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0039,80,y empezaron a hablar conmigo y a todo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0039.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0039.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0039.txt,true,true,true,,,missing_url,
