n,duracion_min,hablante_principal,canal_o_fuente,tipo_fuente,registro,genero,region_o_acento,slang,frontalidad_nota,url,estado
1,12,Lucho Mellera,LuchoMellera,YouTube / stand-up lee historias a camara,informal coloquial,masculino,rioplatense,alto,medio-frontal (a veces plano de escenario),https://www.youtube.com/watch?v=DWmOGQp2chg,candidato verificado por yt-dlp; no descargado
12,10,Lucas Castel,Lucas Castel,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,medio,frontal,https://www.youtube.com/watch?v=ppKd6O25aWM,candidato verificado por yt-dlp; no descargado
13,13,Tomas Mazza,Mazzatomas,YouTube / anecdota a camara,informal coloquial,masculino,rioplatense (GBA),alto,frontal (canal de anecdotas - NO el de fitness),https://www.youtube.com/watch?v=tZoSfWiOffk,candidato verificado por yt-dlp; no descargado
14,9,Tomas Mazza,Mazzatomas,YouTube / anecdota a camara,informal coloquial,masculino,rioplatense (GBA),alto,frontal,https://www.youtube.com/watch?v=IveINHvLLLI,candidato verificado por yt-dlp; no descargado
15,10,Tomas Mazza,Mazzatomas,YouTube / anecdota a camara,informal coloquial,masculino,rioplatense (GBA),alto,frontal,https://www.youtube.com/watch?v=D34eKxJjRlw,candidato verificado por yt-dlp; no descargado
16,19,Tomas Mazza,Mazzatomas,YouTube / anecdota larga a camara,informal coloquial,masculino,rioplatense (GBA),alto,frontal,https://www.youtube.com/watch?v=kB-X6im-pmw,candidato verificado por yt-dlp; no descargado
17,8,Julian Serrano,JulianSerrano7,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,alto,plano fijo (revisar cortes en gate),https://www.youtube.com/watch?v=XVXJtTNZ3Yw,candidato verificado por yt-dlp; no descargado
18,12,Julian Serrano,JulianSerrano7,YouTube / monologo reflexivo a camara,informal coloquial,masculino,rioplatense,medio,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=6iCLA80TjP4,candidato verificado por yt-dlp; no descargado
19,10,Julian Serrano,JulianSerrano7,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=m0qw04O0XIY,candidato verificado por yt-dlp; no descargado
20,7,Lucas Spadafora,Lucas Spadafora,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,alto,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=W3dfKewSpkc,candidato verificado por yt-dlp; no descargado
21,5,Lucas Spadafora,Lucas Spadafora,YouTube / lista-storytime a camara,informal coloquial,masculino,rioplatense,alto,plano fijo (revisar cortes en gate),https://www.youtube.com/watch?v=aQlIHv_K0zk,candidato verificado por yt-dlp; no descargado
22,7,Lucas Spadafora,Lucas Spadafora,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,medio-alto,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=7p0QYwmiuTQ,candidato verificado por yt-dlp; no descargado
23,20,Pedro Rosemblat,GELATINA,YouTube / editorial-monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal (micro cruza el menton a veces),https://www.youtube.com/watch?v=Dp3FkqrX3a4,candidato verificado por yt-dlp; no descargado
24,19,Pedro Rosemblat,GELATINA,YouTube / editorial-monologo a camara,informal coloquial,masculino,rioplatense,alto,semi-frontal,https://www.youtube.com/watch?v=56ielOo5ens,candidato verificado por yt-dlp; no descargado
25,25,Pedro Rosemblat,GELATINA,YouTube / editorial-monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal (micro cruza el menton a veces),https://www.youtube.com/watch?v=29FEJ7trYfI,candidato verificado por yt-dlp; no descargado
26,13,Marti Benza,Marti Benza,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,alto,frontalidad ALTA,https://www.youtube.com/watch?v=EEZp2cH-prw,candidato verificado por yt-dlp; no descargado
27,15,Marti Benza,Marti Benza,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,alto,frontalidad ALTA,https://www.youtube.com/watch?v=t2w9JZtwDrE,candidato verificado por yt-dlp; no descargado
28,16,Marti Benza,Marti Benza,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,alto,frontalidad ALTA,https://www.youtube.com/watch?v=pHIwfEbBt2A,candidato verificado por yt-dlp; no descargado
29,9,Marti Benza,Marti Benza,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,alto,frontalidad ALTA,https://www.youtube.com/watch?v=SlqbgCiX_Ko,candidato verificado por yt-dlp; no descargado
30,30,Cande Copello,Cande Copello,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=FuhJNAxGULU,candidato verificado por yt-dlp; no descargado
31,10,Cande Copello,Cande Copello,YouTube / Q&A-experiencia a camara,informal coloquial,femenino,rioplatense,medio,frontal (algun corte de edicion),https://www.youtube.com/watch?v=23MRqkcWStQ,candidato verificado por yt-dlp; no descargado
32,14,Stef Roitman,Stef Roitman,YouTube / storytime con mate a camara,informal coloquial,femenino,rioplatense,alto,frontalidad ALTA,https://www.youtube.com/watch?v=EzzhPvYBlug,candidato verificado por yt-dlp; no descargado
33,14,Sofia Gonet (La Reini),Sofia Gonet,YouTube / GRWM hablando a camara,informal coloquial,femenino,rioplatense,medio,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=lVHNGa5Y2Ac,candidato verificado por yt-dlp; no descargado
34,12,Sofia Gonet (La Reini),Sofia Gonet,YouTube / vlog-charla a camara,informal coloquial,femenino,rioplatense,medio,frontal (revisar cortes en gate),https://www.youtube.com/watch?v=RRiq_aleHJ4,candidato verificado por yt-dlp; no descargado
35,15,Luli Gonzalez,Luli Gonzalez,YouTube / storytime a camara,informal coloquial,femenino,rioplatense,medio,frontal (canal mixto: ESTE clip si),https://www.youtube.com/watch?v=Funne9QNclY,candidato verificado por yt-dlp; no descargado
36,9,Connie Isla,Connie Isla,YouTube / charla-tutorial a camara,informal coloquial,femenino,rioplatense,alto,plano fijo (canal mixto: ESTE clip si),https://www.youtube.com/watch?v=ZhPgRWjBWvk,candidato verificado por yt-dlp; no descargado
37,31,Martina tu bella amiga,Martina tu bella amiga,YouTube / storytime-anecdota a camara,informal coloquial,femenino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=scQ7nPWsA8g,candidato verificado por yt-dlp; no descargado
38,29,Martina tu bella amiga,Martina tu bella amiga,YouTube / storytime-anecdota a camara,informal coloquial,femenino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=zyr7wpiIt18,candidato verificado por yt-dlp; no descargado
39,31,Martina tu bella amiga,Martina tu bella amiga,YouTube / storytime-anecdota a camara,informal coloquial,femenino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=wB4JpMNFqb4,candidato verificado por yt-dlp; no descargado
