titulo,clip,n_frames,luma_media,frac_oscuros,movimiento_global,actividad_boca,textura_boca,estado,razones,texto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,138,110.27,0.0,4.153,11.237,19.52,keep,,no que no se que porque mi papa dice que no se que toque el auto vanda la concha a tu madre esta bien
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0033,208,110.56,0.0,3.027,10.051,20.97,keep,,eramos 3 economicamente era era inviable porque estabamos si ibamos 4 dividiamos entre todos era menos plata entre nafta y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0034,162,110.63,0.0,2.963,9.961,19.42,keep,,juancito dice yo pongo el auto juancito tiene un 580 auto muy lindo para que anden dos personas porque es comun smart
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0035,212,103.49,0.0,4.43,14.735,18.31,keep,,pero atras lo que nadie nos dijo es que el que va atras o sea el que va atras del 580 ponenle esta es la butaca de una la butaca es un auto normal
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0036,175,100.62,0.0,6.008,14.317,11.97,keep,,la butaca del 580 o sea esta es la butaca del 580 y esta es la postura de las gobas asi claro que es lo que pasa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0037,182,108.15,0.0,3.468,13.963,20.93,keep,,cuando vos vas adentro de un huevo con ruedas podes ir adentro de un huevo con ruedas durante 8 horas no 34 36
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0038,262,104.24,0.0,3.064,11.768,20.73,keep,,nunca lo pensamos o sea agarramos claro o sea ese auto era un creador de mochilas estilo coscu o sea salias de ahi tenias tu propia mochila
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0039,212,103.55,0.0,3.261,10.688,19.11,keep,,un viaje una mochila agarro digo bueno a todo esto aca es donde se empieza a poner linda la cosa para ustedes para nosotros nafta
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0040,112,106.55,0.0,3.054,10.23,21.41,keep,,porque empezamos a buscar quien iba a ocupar el lugar de a milcar para bajar los costos del viaje
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0041,188,110.17,0.0,3.384,12.29,22.77,keep,,y juancito dice mi primo se quiere sumar bueno esta bien que onda tu primo miralio juancito es un viaje de 36 horas nosotros nos conocemos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0042,252,107.25,0.0,3.47,11.126,22.67,keep,,podemos viajar pero a este chavon no lo conocemos o sea nada de recopado es un genio buena onda el chavon viola bueno como se llama alan creo que se llama
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0043,155,106.78,0.0,3.472,12.259,21.54,keep,,me olvide el nombre porque termine tan pero tan encabronado con ese chavon que lo aborre si
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0044,175,103.73,0.0,3.165,10.407,17.34,keep,,pues tiene un que es loco dice bueno viene alan no se que bueno escuchadme todos buscando un gps bueno escuchadme vamos con gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0045,250,107.97,0.0,2.924,10.062,18.78,keep,,a ver quien tiene un gps y salta armamos un grupito y salta y dice no yo tengo gps bueno a todo esto luciano que ya habia ido a san pablo a ver a los estudiantes
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0046,175,106.05,0.0,2.8,9.493,17.67,keep,,por la copa de libertadores es ese tipo alarmista que decia yo les voy a aclarar una cosa si vamos en auto hay que tener mucho cuidado en san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0047,175,105.07,0.0,3.208,10.509,19.06,keep,,en san pablo te violan te matan violan el cadaver despues desaparecen el cadaver vuelven a violarlo una vez que estan el basurero
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0048,175,109.12,0.0,3.119,10.215,20.16,keep,,entonces voy a decir empezo a meter miedo desde la arranca entonces ya san pablo era como decir estamos pasando por el infierno el umbral del infierno a san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0049,175,107.06,0.0,3.195,10.279,19.12,keep,,entonces le digo no creo que sea tan grave luciano o sea me meti en google street lo veo las autopistas que vamos a agarrar no no eso es terrible
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0050,125,106.73,0.0,3.2,12.375,21.73,keep,,hay que tener mucho cuidado y que esto que es otro entonces luciano pone en el grupo actualizar el gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0051,150,109.45,0.0,2.768,9.214,21.39,keep,,porque hicieron autopistas nuevas que no estan en el viejo en el mapa que te viene con ese gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0052,200,108.51,0.0,4.222,13.458,21.62,keep,,si dice el chamon yo lo actualizo bueno cuestion que nos encontramos yo agarro no tenia el gol tren mentira tenia un gol power 3 puertas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0053,150,107.14,0.0,3.179,11.638,24.92,keep,,que tenia escape silem que sonaba o sea ir en ese auto no podia ir a capital le volaba la cabeza a cualquiera porque asi ha
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0054,200,106.32,0.0,3.757,12.997,19.99,keep,,lo tenia medio pistelo entonces lo dejo mi auto en la casa de mi ex en nuñez y todos saliamos desde puentes avedra que estaba muy nomas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0055,275,107.33,0.0,2.85,11.065,18.91,keep,,bueno luluyo nos vamos desde la plata y alan y juancito que eran de juancito de lanuz y alan de san isidro nos encontramos en punto medio que era ahi punto de puentes avedra
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0056,150,106.86,0.0,2.955,8.645,19.5,keep,,caemos que es eso dice bueno en esa epoca yo estaba mas trastornado que ahora era todo el tiempo todo el tiempo era
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0057,175,109.94,0.0,3.28,10.427,18.8,keep,,entonces bueno llegamos cada uno se habia armado su bolsito traemos plata traemos esto traemos el otro cuando estabamos en
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0058,200,106.97,0.0,2.94,10.403,19.95,keep,,por subirnos al auto nos vamos a subir al auto cain nos presenta la primera vez que veiamos a alan real proximamente llamado camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0059,250,104.75,0.0,3.142,9.822,16.29,keep,,todo el trayecto se llamo camion de basura despues de algo estrategico que paso o sea paso algo que quebro el viaje a lo cual yo lo apode el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0060,150,107.96,0.0,3.016,10.087,18.58,keep,,y se lo dije o sea despues del viaje se puso returbo pero ahora es alan despues va a ser el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0061,200,108.7,0.0,3.068,10.736,19.75,keep,,entonces agarro nos subimos y cae a alan y dice no yo trajo un tapper con unos anguchitos que preparo mi mama es para que lleguemos mas o menos a turuguay
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0062,200,109.04,0.0,2.893,10.004,19.83,keep,,puerta con brasil y podamos con esto tenemos que llegar el chavon saco un tapper con no se habia bonelle 12 sanguchitos de pan lagdal
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0063,200,107.72,0.0,3.436,10.068,18.79,keep,,bueno que esto que es el otro y adentro de un tapper que persona escuchen esto que persona adentro de un tapper guarda un gorrito de argentina
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0064,100,102.66,0.0,4.27,12.025,16.59,keep,,entonces el chavon lo que viene con el tapper de comida y un tapper con un gorrito adentro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0065,125,107.03,0.0,2.406,8.222,21.1,keep,,entonces juancito le dice por que escuchas hay un gorro adentro del tapper
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0066,125,108.91,0.0,2.632,9.218,21.51,keep,,asi es el gorro de cabala que utilizo yo nunca lo la ves y por que lo tenes adentro del tapper
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0067,75,107.85,0.0,2.976,10.415,20.58,keep,,no no porque lo cuido asi para que no agarre olor
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0068,100,103.19,0.0,3.941,11.532,18.03,keep,,bueno lo que era para que no agarre olor amigos era una camara al vacio de caca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0069,150,104.59,0.0,3.406,12.001,21.44,keep,,o sea era como tener un sorete guardarlo en un tapper y decir hay olor a caca todo el año
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0070,75,110.2,0.0,3.468,11.747,25.54,keep,,tapper de caca o sea tapper de gorrito con caca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0071,100,108.96,0.0,3.196,10.939,22.26,keep,,entonces lo que nunca lo abrimos el tapper o sea hasta no llegar a brasil no sabiamos de esto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0072,100,107.28,0.0,3.318,10.804,23.38,keep,,deja el tapper con el gorro que el gorro tenia no se 10 años
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0073,150,109.12,0.0,2.887,9.612,22.8,keep,,habia el tapper con comida bueno subimos a panamericana hablando de las reglas de convivencia y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0074,125,109.41,0.0,3.051,9.671,25.0,keep,,y que esto que es lo otro bueno entonces bueno estabamos ahi en el viaje arrancamos y vamos a panamericana
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0075,125,110.54,0.0,3.452,10.484,18.62,keep,,si no porque los muchachos cuidemos el auto cuidemos esto no hagamos cagada nos van a detener en brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0076,125,110.76,0.0,3.286,9.826,18.36,keep,,sino no no te lo hablas brasil bueno lulo hablando de san pablo lulo hablaba de san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0077,75,106.43,0.0,3.143,9.935,17.36,keep,,todo lo que era era san pablo hay que tener cuidado en san pablo menos mal que actualizate el gpc
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0078,125,110.77,0.0,3.745,11.831,21.45,keep,,porque en san pablo y en san pablo y en san pablo y en san pablo y digo luciano no quiero escucharte mas hablar de san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0079,125,109.2,0.0,4.346,12.425,23.9,keep,,ya sabemos que en san pablo nos van a coger violar nos vamos a morir y nos van a vender los organos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0080,125,113.32,0.0,3.193,9.796,23.21,keep,,ya esta amigo no me estas mas miedo el viaje recien empieza nos hace tomar una loza mala a todos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0081,100,112.61,0.0,3.054,9.593,25.83,keep,,que nadie quiere tener una loza mala todavia ni salimos de buenos aires
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0082,100,108.14,0.0,3.595,10.406,19.42,keep,,bueno no yo aviso porque bueno esto terminan estabamos yendo a la autopista
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0083,125,102.54,0.0,4.93,14.22,18.84,keep,,entonces juancito agarra pues me pone el mas fuerte yo me vuelvo loco y encuentro un casquito de obrero
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0084,93,105.99,0.0,4.107,12.08,22.45,keep,,y estaba el techo abierto y agarre tire el casquito por arriba del ca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0085,125,113.57,0.0,3.986,12.923,25.01,keep,,ahora si pa tiro el casquito por arriba del del la ventana del auto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0086,75,113.29,0.0,4.758,12.515,21.98,keep,,sale el casquito volando claro atras venia un auto yo con un tarado
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0087,75,102.96,0.0,4.471,14.309,20.13,keep,,el casquito pa le pega en el parabrisa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0088,100,105.54,0.0,3.404,11.44,24.76,keep,,y loco se nos pone el lado y nos dice usted esta enfermo que no se que bueno juancito me dice
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0089,100,108.01,0.0,3.054,8.792,21.83,keep,,eguero no podemos arrancar el viaje asi tiraste un casquito en panamericana
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0090,125,107.25,0.0,2.835,8.574,21.4,keep,,o sea amigo aparte de ese casco yo lo uso en el trabajo o sea no podemos arrancar el viaje asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0091,150,106.98,0.0,3.104,8.967,20.32,keep,,bueno a todo esto el pisione dice yo tengo hambre bueno bueno que es para comer frenar a comer algo no frenar a comer algo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0092,175,107.98,0.0,2.914,11.255,21.77,keep,,yo le digo no agarra el taper de los sandwiches no pero y ahi empezo el niño racionador ahi alan dice no no no estos sandwiches son como
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0093,100,108.41,0.0,4.141,12.608,24.8,keep,,para llegar a la frontera con brasil el en su cabeza imaginaba que esos sandwiches van a llegar a la frontera y asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0094,75,112.1,0.0,3.147,10.661,23.38,keep,,bueno no comemos la mitad y despues la otra mitad la comemos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0095,100,111.3,0.0,3.337,9.508,21.68,keep,,amigo cuestion que no habiamos salido de buenos aires que ya no quedaba un sandwiches
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0096,200,109.82,0.0,3.08,9.759,21.54,keep,,nos habiamos comido todos los sandwiches del taper y el chavon decia no porque vamos a preparar esto para todo el viaje no lo comimos todos eran las 2 de la mañana habiamos cenado todo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0097,125,110.67,0.0,3.616,15.513,24.56,keep,,o sea ya pintaba para ser un viaje distinto entonces voy a empezar a mostrar imagenes de los personajes
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0100,112,116.88,0.0,3.745,18.12,25.29,keep,,no quiero perderme detalles porque la verdad es una anecdota muy larga porque fue un viaje extremadamente largo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0101,175,107.16,0.0,2.998,10.217,18.86,keep,,cuestion que el viaje arranca pasamos sarate entramos uruguay lo que se acuerdan que lo que les decian era
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0102,100,107.71,0.0,3.438,11.656,23.01,keep,,gente hagan el ingreso y hagan el egreso porque se comen una multa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0103,175,107.47,0.0,5.632,14.932,18.91,keep,,cuestion que pasamos uruguay no se por donde y pasamos bien no se ya en la salida todo bien entramos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0104,150,107.57,0.0,3.085,10.095,18.37,keep,,se viene ese viaje egipto con pimpicompcom peseto y decidi no pagarlo con el dinero que yo uso mensualmente
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0105,200,107.84,0.0,3.162,9.816,19.08,keep,,un amigo me recomendo una pagina llama binomocom es una pagina en la cual ustedes van a predecir cual es el valor de una moneda en determinado tiempo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0115,175,113.41,0.0,6.159,18.633,19.14,keep,,pasense a todo esto siempre recordandole el luciano diciendo que tenemos que entrar y que no se que el gps lo pone
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0116,125,103.48,0.0,3.161,10.654,17.58,keep,,y el auto agarro por otro lado entonces claro lo que nosotros no queriamos entrar por no se donde
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0117,90,109.2,0.0,3.343,11.2,23.39,keep,,que era que estaba toda la cola de argentino que tenias para pasar seis horas con el
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0118,100,108.69,0.0,2.985,9.613,18.3,keep,,y pasamos por un lugar no pasaba nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0119,75,107.31,0.0,2.655,8.276,18.46,keep,,todo esto durmiendo llegamos a la primer frontera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0120,150,108.15,0.0,3.237,9.76,17.91,keep,,pasamos todo bien todo esto sin dormir nos ibamos a turnar nos ibamos a turnar un tiempo adelante uno
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0121,100,107.15,0.0,3.117,10.654,20.65,keep,,o sea eran parejitas juancito y yo adelante manejaba el o manejaba yo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0122,150,108.89,0.0,3.586,12.361,23.37,keep,,y atras alan y luciano ir adelante era como el premio mayor o sea estaba era yo te juro que
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0123,75,109.88,0.0,3.261,10.866,24.89,keep,,convenia pagar y viajar adelante y ir atras atras
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0124,100,100.1,0.0,6.359,25.126,15.54,keep,,y vas en esta posicion amigos asi saben lo que es ir asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0125,125,108.38,0.0,3.249,11.749,18.61,keep,,horas y horas y horas bueno ibamos de parejitas ibamos yendo para brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0126,125,106.91,0.0,3.326,11.443,21.62,keep,,nos dormimos los que obviamente el que iba adelante tenia que encargarse de que el conductor no se duerma
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0127,175,102.15,0.0,3.177,9.32,17.21,keep,,acompañante tenia que despertar el conductor en un momento ibamos juancito y yo manejando y lulo atras con alan
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0128,125,106.36,0.0,2.453,9.045,21.96,keep,,cuando estabamos manejando yo escucho que el que empezaba a ser el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0129,100,102.88,0.0,4.323,11.257,14.81,keep,,empieza a ser ruidos y hace amigos les juro por mi mama
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0130,75,102.35,0.0,3.405,9.091,18.29,keep,,por mi mama que el ruido del ronquido era este
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0131,75,101.93,0.0,5.496,20.774,18.9,keep,,estaba asi y se dormia con esta cara
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0132,100,102.91,0.0,4.376,14.737,23.85,keep,,amigos se lo juro no estoy exagerandolo en nada nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0133,125,104.46,0.0,2.723,8.823,17.54,keep,promovido_de_review,entonces yo lo miro a juancito y digo amigo bueno no avisaste de esto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0134,100,107.88,0.0,2.651,9.444,17.87,keep,,entonces dice si ya se va a haber problemas obvio que va a haber problemas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0135,75,104.76,0.0,3.345,9.472,15.59,keep,,y digo luciano duerme con esto yo no duermo con esto amigo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0136,75,105.46,0.0,2.989,9.566,17.99,keep,,me dice y vas a que bueno mira despues lo hablamos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0137,100,110.15,0.0,2.786,8.606,17.5,keep,promovido_de_review,pero no arranque mi viaje asi amigo recien vamos no se 700 kilometros
