source_id,clip,split,current_text,asr2_text,wer_current_vs_asr2,cer_current_vs_asr2,token_diff_summary,disagreement_level,reasons
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,test,fui a viaje a montreal quebec canada,"Fui a... viajé a Montreal, Quebec, Canadá.",0.714286,0.266667,"insert: '' -> 'a... viajé' | replace: 'viaje a montreal quebec canada' -> 'montreal, quebec, canadá.'",medium,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,test,donde se habla frances no una ciudad super super linda,"donde se habla francés, una ciudad súper súper linda",0.400000,0.111111,"replace: 'frances no' -> 'francés,' | replace: 'super super' -> 'súper súper'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,test,tengo varios amigos que viven en montreal especialmente en montreal  especialmente durante el verano en montreal,tengo varios amigos que viven en Montreal especialmente durante el verano en Montreal,0.187500,0.239583,delete: 'en montreal especialmente' -> '',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,test,es espectacular y deberian ir a montreal por favor,"Montreal es espectacular y deberían ir a Montreal, por favor.",0.444444,0.261905,"insert: '' -> 'montreal' | replace: 'deberian' -> 'deberían' | replace: 'montreal' -> 'montreal,' | replace: 'favor' -> 'favor.'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,test,bueno les cuento ni bien llegaba al hotel donde me estaba quedando en montreal con mis amigos,"Bueno, les cuento Ni bien llegaba al hotel Donde me estaba quedando en Montreal Con mis amigos",0.058824,0.012987,"replace: 'bueno' -> 'bueno,'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,test,yo entraba primero mis amigos se quedaron agarraron todas sus valijas y todo,"Yo entraba primero, mis amigos se quedaron, agarraron todos sus valijas y todo.",0.307692,0.062500,"replace: 'primero' -> 'primero,' | replace: 'quedaron' -> 'quedaron,' | replace: 'todas' -> 'todos' | replace: 'todo' -> 'todo.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,test,mientras yo estaba entrando al hotel para subir al lobby y hacer el checkin y todo,mientras yo estaba entrando al hotel para subir al lobby y hacer el check-in y todo,0.062500,0.014925,replace: 'checkin' -> 'check-in',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,test,entro al ascensor y entran dos personas mas,Entro al ascensor y entran dos personas más.,0.125000,0.055556,replace: 'mas' -> 'más.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0019,test,dos tipos que se veian como que si fuesen amigos,Más dos tipos que se veían como que si fuesen amigos.,0.300000,0.128205,insert: '' -> 'más' | replace: 'veian' -> 'veían' | replace: 'amigos' -> 'amigos.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0020,test,hablando en frances nada mas no completamente en frances,"Hablando en francés, nada más Completamente en francés",0.444444,0.125000,"replace: 'frances' -> 'francés,' | replace: 'mas no' -> 'más' | replace: 'frances' -> 'francés'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0021,test,quebecois de quebec y yo ahi tranquilo solito,québécois de québec y yo ahí tranquilo solito,0.375000,0.105263,replace: 'quebecois' -> 'québécois' | replace: 'quebec' -> 'québec' | replace: 'ahi' -> 'ahí',medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0022,test,no pasaba nada y empece a darme cuenta de que estos pibes estos tipos,"no pasaba nada y empecé a darme cuenta de que estos pibes, estos tipos",0.142857,0.035714,"replace: 'empece' -> 'empecé' | replace: 'pibes' -> 'pibes,'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0023,test,estaban burlando de mi y me estaba dando cuenta de eso,Se estaban burlando de mí. Y me estaban dando cuenta de eso.,0.363636,0.136364,insert: '' -> 'se' | replace: 'mi' -> 'mí.' | replace: 'estaba' -> 'estaban' | replace: 'eso' -> 'eso.',medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0024,test,dije para un poco se estan burlando de mi,"Dije, pará un poco, se están burlando de mí.",0.555556,0.181818,"replace: 'dije para' -> 'dije, pará' | replace: 'poco' -> 'poco,' | replace: 'estan' -> 'están' | replace: 'mi' -> 'mí.'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0025,test,esto no es justo y mientras yo trataba de entender,esto esto no es justo y mientras yo trataba trataba de entender,0.200000,0.268293,insert: '' -> 'esto' | insert: '' -> 'trataba',medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0026,test,no entendia nada me veian se reian de mi,"no entendía nada, me veían, se reían de mí.",0.555556,0.218750,"replace: 'entendia nada' -> 'entendía nada,' | replace: 'veian' -> 'veían,' | replace: 'reian' -> 'reían' | replace: 'mi' -> 'mí.'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0027,test,como que uno hizo asi me tocaba,"como que uno, uno, como hizo así me tocaba",0.571429,0.400000,"replace: 'uno' -> 'uno, uno, como' | replace: 'asi' -> 'así'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0028,test,no y yo en ese momento dije para que pasa porque escuche la palabra americano,Y yo en ese momento dije Pará Porque escuché la palabra americana,0.400000,0.190476,delete: 'no' -> '' | replace: 'para que pasa' -> 'pará' | replace: 'escuche' -> 'escuché' | replace: 'americano' -> 'americana',medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0029,test,o no se algo asi y dije estos tipos saben y piensan y se estan burlando de mi,"o no sé, algo así y dije, estos tipos saben y piensan y se están burlando de mí",0.277778,0.100000,"replace: 'se' -> 'sé,' | replace: 'asi' -> 'así' | replace: 'dije' -> 'dije,' | replace: 'estan' -> 'están'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0030,test,porque soy de estados unidos no y dije les voy a pegar con una noticia,porque soy de estados unidos y dije les voy a pegar con una noticia,0.066667,0.035714,delete: 'no' -> '',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0031,test,y les voy a mentir y ver su reaccion entonces yo,y les voy a mentir y ver su reacción entonces,0.181818,0.078947,replace: 'reaccion' -> 'reacción' | delete: 'yo' -> '',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0032,test,de repente como que me tocaban y dije para no entiendo lo que me estas diciendo,"De repente como que me tocaban y dije, ah, pará, dije, pará, no entiendo lo que me estás diciendo.",0.437500,0.265625,"replace: 'dije para' -> 'dije, ah, pará, dije, pará,' | replace: 'estas diciendo' -> 'estás diciendo.'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0033,test,hablame en castellano y no sabes como le cambiaron,hablame en castellano y no sabes cómo le cambiaron,0.111111,0.023810,replace: 'como' -> 'cómo',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0034,test,no sabes como les cambio la cara como que dijo eh where are you from,¿No sabés cómo les cambió la cara? ¿Cómo dijo? ¿Eh? ¿Dónde estás?,0.866667,0.481481,replace: 'no sabes como' -> '¿no sabés cómo' | replace: 'cambio' -> 'cambió' | replace: 'cara como que dijo eh where are you from' -> 'cara? ¿cómo dijo? ¿eh? ¿dónde estás?',high,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0035,test,y yo yo soy de argentina que queres me dijo argentina,"Y yo, yo soy Argentina, ¿qué querés? Me dijo, Argentina.",0.636364,0.232558,"replace: 'yo' -> 'yo,' | replace: 'de argentina que queres' -> 'argentina, ¿qué querés?' | replace: 'dijo argentina' -> 'dijo, argentina.'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0036,test,messi oh como esta le cambio su actitud,¡Messi! ¡Oh! ¿Cómo estás? Le cambió su actitud.,0.750000,0.343750,replace: 'messi oh como esta' -> '¡messi! ¡oh! ¿cómo estás?' | replace: 'cambio' -> 'cambió' | replace: 'actitud' -> 'actitud.',high,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0037,test,y me dijo por completo al cien por ciento,tour por completo al 100%,0.666667,0.606061,replace: 'y me dijo' -> 'tour' | replace: 'cien por ciento' -> '100%',high,possible_audio_text_mismatch
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0038,test,y de repente como en dos segundos eramos amigos no,"Y de repente como en dos segundos éramos amigos, ¿no?",0.300000,0.097561,"replace: 'eramos amigos no' -> 'éramos amigos, ¿no?'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0039,test,y empezaron a hablar conmigo y a todo,y empezaron a hablar conmigo y todo.,0.250000,0.066667,replace: 'a todo' -> 'todo.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0040,test,al grano no les dije que soy de estados unidos seguia con mi mentira,"y al final no les dije que soy de Estados Unidos, seguía con mi mentira.",0.357143,0.163636,"insert: '' -> 'y' | replace: 'grano' -> 'final' | replace: 'unidos seguia' -> 'unidos, seguía' | replace: 'mentira' -> 'mentira.'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0041,test,diciendo si soy de argentina y que estoy aca de visita,"diciendo, sí, soy de Argentina y que estoy acá de visita.",0.363636,0.113636,"replace: 'diciendo si' -> 'diciendo, sí,' | replace: 'aca' -> 'acá' | replace: 'visita' -> 'visita.'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0042,test,y todo y ahi fue cuando dije mira vos,y todo y ahí fue cuando dije mira vos,0.111111,0.034483,replace: 'ahi' -> 'ahí',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0043,test,que bien que aprendi español porque primero,que bien que aprendí español porque,0.285714,0.216216,replace: 'aprendi' -> 'aprendí' | delete: 'primero' -> '',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0044,test,cualquier otra persona se iba a enojar cualquier otra persona iba a tener una situacion medio complicada,"Cualquier otra persona se iba a enojar, cualquier otra persona iba a tener una situación medio complicada.",0.176471,0.034091,"replace: 'enojar' -> 'enojar,' | replace: 'situacion' -> 'situación' | replace: 'complicada' -> 'complicada.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0045,test,pero al decirles que yo soy de argentina como que de repente yo era como su amigo,"Pero al decirles que yo soy de Argentina, como que de repente yo era como su amigo.",0.117647,0.030769,"replace: 'argentina' -> 'argentina,' | replace: 'amigo' -> 'amigo.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0046,test,y querian saber un poco mas de mi querian saber un poco mas de argentina y fue genial fue super super genial,"y querían saber un poco más de mí, querían saber un poco más de Argentina y fue genial, fue súper súper genial",0.363636,0.103448,"replace: 'querian' -> 'querían' | replace: 'mas' -> 'más' | replace: 'mi querian' -> 'mí, querían' | replace: 'mas' -> 'más'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0047,test,yo creo que conte esta anecdota en otro video en otro live que hice hace mucho tiempo,"Yo creo que conté esta anécdota en otro video, en otro live que hice hace mucho tiempo.",0.235294,0.057971,"replace: 'conte' -> 'conté' | replace: 'anecdota' -> 'anécdota' | replace: 'video' -> 'video,' | replace: 'tiempo' -> 'tiempo.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0048,test,pero esta anecdota queria destacar en este video porque debe servir como inspiracion para los que no hablan en español,Pero esta anécdota quería destacar en este video porque debe servir como inspiración para los que no hablan en español.,0.200000,0.040404,replace: 'anecdota queria' -> 'anécdota quería' | replace: 'inspiracion' -> 'inspiración' | replace: 'español' -> 'español.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0049,test,si estas en una situacion donde no sabes que hacer podes decir que si si hablo español soy de argentina,"Podés de repente, si estás en una situación donde no sabes qué hacer, podés decir que sí, sí, hablo español, soy de Argentina.",0.600000,0.309524,"insert: '' -> 'podés de repente,' | replace: 'estas' -> 'estás' | replace: 'situacion' -> 'situación' | replace: 'que hacer podes' -> 'qué hacer, podés'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0050,test,y por ahi te puede llegar a servir a mi me sirvio un monton claro,"Y por ahí te puede llegar a servir A mí me sirvió un montón, claro",0.266667,0.098039,"replace: 'ahi' -> 'ahí' | replace: 'mi' -> 'mí' | replace: 'sirvio' -> 'sirvió' | replace: 'monton' -> 'montón,'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0051,test,natalia dice alto chamuyo si chamuyo,"Natalia dice, alto chamullo. Sí, chamullero.",0.666667,0.354839,"replace: 'dice' -> 'dice,' | replace: 'chamuyo si chamuyo' -> 'chamullo. sí, chamullero.'",medium,possible_timestamp_misalignment;possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0052,test,si un monton y funciono como que todas mis clases de chamuyo que aprendi en argentina sirvieron un monton un monton,un montón y funcionó como que todo todo mis clases de chamuyo que aprendí en argentina sirvieron un montón un montón,0.380952,0.126316,delete: 'si' -> '' | replace: 'monton' -> 'montón' | replace: 'funciono' -> 'funcionó' | replace: 'todas' -> 'todo todo',medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0053,test,asi que poder hablar en español me cambio la vida al 100 hay varias anecdotas que tengo para contarles,Así que poder hablar en español me cambió la vida al 100%. Hay varias anécdotas que tengo para contarles.,0.263158,0.071429,replace: 'asi' -> 'así' | replace: 'cambio' -> 'cambió' | replace: '100' -> '100%.' | replace: 'anecdotas' -> 'anécdotas',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0054,test,pero yo les queria contar esto porque tambien esta bueno ver como,pero yo les quería contar esto porque porque también está bueno ver como,0.333333,0.166667,replace: 'queria' -> 'quería' | replace: 'tambien esta' -> 'porque también está',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0055,test,los ven a los mismos argentinos en el mundo no como que en ese momento el estadounidense no servia y era como el chiste,los ven a los mismos argentinos en el mundo no como que en ese momento el estadounidense no servía y era como el chiste,0.041667,0.010417,replace: 'servia' -> 'servía',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0056,test,pero el argentino si era el capo el argentino era como que querian saber mas querian ser amigos,"Pero el argentino sí, era el capo. El argentino era como que querían saber más, querían ser amigos.",0.333333,0.102564,"replace: 'si' -> 'sí,' | replace: 'capo' -> 'capo.' | replace: 'querian' -> 'querían' | replace: 'mas querian' -> 'más, querían'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0057,test,y no se como que me causo mucha gracia esa anecdota,"Y no sé, como que me causó mucha gracia esa anécdota.",0.272727,0.121951,"replace: 'se' -> 'sé,' | replace: 'causo' -> 'causó' | replace: 'anecdota' -> 'anécdota.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0058,test,obviamente se los conte a mis amigos que estaban quedandose conmigo en el hotel y todo,Obviamente se los conté a mis amigos que estaban quedándose conmigo en el hotel y todo.,0.187500,0.042254,replace: 'conte' -> 'conté' | replace: 'quedandose' -> 'quedándose' | replace: 'todo' -> 'todo.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0059,test,y no se y bueno pero bueno eso es una anecdota,Y bueno Pero bueno Eso es una anécdota,0.363636,0.166667,delete: 'y no se' -> '' | replace: 'anecdota' -> 'anécdota',medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0060,test,tengo otras anecdotas que creo que voy a contar en otro video tambien,Tengo otras anécdotas que creo que voy a contar en otro video también.,0.153846,0.052632,replace: 'anecdotas' -> 'anécdotas' | replace: 'tambien' -> 'también.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0061,test,pero bueno terminando con este video queria hablar un poco mas con ustedes,"Pero bueno, terminando con este video, quería hablar un poco más con ustedes.",0.384615,0.080645,"replace: 'bueno' -> 'bueno,' | replace: 'video queria' -> 'video, quería' | replace: 'mas' -> 'más' | replace: 'ustedes' -> 'ustedes.'",medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0062,test,porque se que hay varios que siempre estan aca en este chat conmigo todos los dias,Porque sé que hay varios que siempre están acá en este chat conmigo todos los días.,0.250000,0.074627,replace: 'se' -> 'sé' | replace: 'estan aca' -> 'están acá' | replace: 'dias' -> 'días.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0063,test,de hecho cuando subi un video recien todos me decian yo te voy a esperar,"De hecho, cuando subí un video recién, todos me decían yo te voy a esperar.",0.333333,0.103448,"replace: 'hecho' -> 'hecho,' | replace: 'subi' -> 'subí' | replace: 'recien' -> 'recién,' | replace: 'decian' -> 'decían'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0064,test,porque me iba a dormir en este momento pero te espero porque se que vas a hacer un live,porque me iba a dormir en este momento pero te espero porque sé que vas a hacer un like,0.105263,0.028986,replace: 'se' -> 'sé' | replace: 'live' -> 'like',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0065,test,ana ortiz creo que fuiste vos y otras personas mas,"Ana Ortiz, creo que fuiste vos y otras personas más.",0.200000,0.073171,"replace: 'ortiz' -> 'ortiz,' | replace: 'mas' -> 'más.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0066,test,daniel daniel que haces yo what up man,"Daniel, Daniel, ¿qué haces? Yo, what up, man?",0.875000,0.258065,"replace: 'daniel daniel que haces yo' -> 'daniel, daniel, ¿qué haces? yo,' | replace: 'up man' -> 'up, man?'",high,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0067,test,donde esta el equipo kaka,¿Dónde está el equipo Kaka?,0.600000,0.190476,replace: 'donde esta' -> '¿dónde está' | replace: 'kaka' -> 'kaka?',medium,possible_timestamp_misalignment;possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0068,test,todos que tienen el emoji de kaka al lado de su nombre vamos arriba,Todos que tienen el emoji de caca al lado de su nombre Vamos arriba,0.071429,0.037037,replace: 'kaka' -> 'caca',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0069,test,vamos yo los veo aca estudiando vanessa como andas,vamos yo los veo acá estudiando vanessa cómo andas,0.222222,0.047619,replace: 'aca' -> 'acá' | replace: 'como' -> 'cómo',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0070,test,que lindo verte aca ah leo     le respondo a esta pregunta a sebastian aguero,Qué lindo verte acá. Le respondo a esta pregunta a Sebastián Agüero.,0.428571,0.166667,replace: 'que' -> 'qué' | replace: 'aca ah leo' -> 'acá.' | replace: 'sebastian aguero' -> 'sebastián agüero.',medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0071,test,te gustaria tener hijos argentinos yo creo que si,¿Te gustaría tener hijos argentinos? Yo creo que sí,0.444444,0.097561,replace: 'te gustaria' -> '¿te gustaría' | replace: 'argentinos' -> 'argentinos?' | replace: 'si' -> 'sí',medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0072,test,obviamente o sea argentina tiene toda una historia en mi vida,"Obviamente, o sea, Argentina tiene toda una historia de mi vida",0.272727,0.078431,"replace: 'obviamente' -> 'obviamente,' | replace: 'sea' -> 'sea,' | replace: 'en' -> 'de'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0073,test,me ha marcado como persona me identifico mucho con los argentinos con la cultura y como hablan y todo,"me ha marcado como persona, me identifico mucho con los argentinos, con la cultura y cómo hablan y todo.",0.210526,0.048193,"replace: 'persona' -> 'persona,' | replace: 'argentinos' -> 'argentinos,' | replace: 'como' -> 'cómo' | replace: 'todo' -> 'todo.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0074,test,pero bueno como que teniendo cualquier hijo,"Pero bueno, como que Teniendo cualquier hijo",0.142857,0.027027,"replace: 'bueno' -> 'bueno,'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0075,test,me encantaria tener un hijo que sea bilingue o trilingue creo que mi hijo o hija va a tener que ser trilingue,"Me encantaría tener un hijo que sea bilingüe o trilingüe, creo que mi hijo o hija va a tener que ser trilingüe.",0.181818,0.068182,"replace: 'encantaria' -> 'encantaría' | replace: 'bilingue' -> 'bilingüe' | replace: 'trilingue' -> 'trilingüe,' | replace: 'trilingue' -> 'trilingüe.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0076,test,yo fui bilingue y hay que mejorar siempre pero buena pregunta buena pregunta,porque yo fui bilingüe y hay que mejorar siempre pero buena pregunta buena pregunta,0.153846,0.109375,insert: '' -> 'porque' | replace: 'bilingue' -> 'bilingüe',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0077,test,otra persona hoy me mando una pregunta diciendo,Otra persona hoy me mandó una pregunta diciendo...,0.250000,0.100000,replace: 'mando' -> 'mandó' | replace: 'diciendo' -> 'diciendo...',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0078,test,che sos ya sos grande dustin,"Che, sos, ya sos gran, gran edad.",0.833333,0.521739,"replace: 'che sos' -> 'che, sos,' | replace: 'grande dustin' -> 'gran, gran edad.'",high,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0079,test,tenes 35 años por que no tenes hijos todavia por que no estas casado,"Tenés 35 años, ¿por qué no tenés hijos todavía? ¿Por qué no estás casado?",0.714286,0.200000,"replace: 'tenes' -> 'tenés' | replace: 'años por que' -> 'años, ¿por qué' | replace: 'tenes' -> 'tenés' | replace: 'todavia por que' -> 'todavía? ¿por qué'",medium,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0080,test,por que no tenes novia creo que voy a hacer otro video respondiendo a esa pregunta,¿Por qué no tenés novia? Creo que voy a hacer otro video respondiendo a esa pregunta.,0.312500,0.074627,replace: 'por que' -> '¿por qué' | replace: 'tenes novia' -> 'tenés novia?' | replace: 'pregunta' -> 'pregunta.',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0081,test,y si me seguis si sos fiel a este canal seguramente sabes la respuesta,"Y si me seguís, si sos fiel a este canal, seguramente sabes la respuesta.",0.214286,0.070175,"replace: 'seguis' -> 'seguís,' | replace: 'canal' -> 'canal,' | replace: 'respuesta' -> 'respuesta.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0082,test,porque lo he contado un par de veces pero que onda a ustedes,porque lo he contado un par de veces pero qué onda usted,0.230769,0.083333,replace: 'que' -> 'qué' | replace: 'a ustedes' -> 'usted',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0083,test,se que en argentina en este momento ya es tarde ya son las once y media creo,"Sé que en Argentina en este momento ya es tarde, ya son las 11 y media.",0.294118,0.166667,"replace: 'se' -> 'sé' | replace: 'tarde' -> 'tarde,' | replace: 'once' -> '11' | replace: 'media creo' -> 'media.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0084,test,o o o que hora es alla,¿Qué hora es?,0.857143,0.500000,replace: 'o o o que' -> '¿qué' | replace: 'es alla' -> 'es?',high,possible_audio_text_mismatch
