titulo,clip,estado,ratio_deteccion,n_frames,texto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,ok,1.000,158,bueno cuestion que claro no terminaba mas todos burlandose bueno tenian razon era un pelotudo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,ok,1.000,88,cuestion que agarro y me dice bueno vamos en auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,ok,1.000,192,yo tenia el goltren amigo le digo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,ok,1.000,143,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,ok,1.000,155,o sea no podemos ir a rio de janeiro en un goltren bueno dice discutiendo en cual vamos bueno a ver quien se sube
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,ok,1.000,80,eramos amilcar luciano juancito y yo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0033,ok,1.000,138,vamos cuatro bueno listo vamos cuatro faltando un dia se baja amilcar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0034,ok,1.000,113,no que no se digo mira amilcar yo ya me pedi el dia en el trabajo boludo tenemos que ir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0035,ok,1.000,123,no que no se que porque mi papa dice que no se que esto que lo ha hecho anda la concha de tu madre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0036,ok,1.000,127,esta bien eramos tres economicamente era inviable porque estabamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0037,ok,1.000,94,si ibamos cuatro dividiamos entre todos era menos plata entre nafta y demas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0038,ok,1.000,151,juancito dice yo pongo el auto juancito tiene un 580 auto muy lindo para que anden dos personas porque es como un smart
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0039,descartado,0.779,0,pero atras lo que nadie nos dijo es que el que va atras o sea el que va atras del 580
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0040,ok,0.966,98,ponele esta es la butaca de una la butaca de un auto normal la butaca del 580
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0041,ok,1.000,98,o sea esta es la butaca del 580 y esta es la postura en la que vos vas asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0042,ok,1.000,112,claro que es lo que pasa cuando vos vas adentro de un huevo con ruedas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0043,ok,1.000,105,podes ir adentro de un huevo con ruedas durante ocho horas no 34 36
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0044,ok,1.000,199,nunca lo pensamos o sea agarramos claro o sea ese auto era un creador de mochilas estilo coscu
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0045,ok,1.000,107,o sea salias de ahi y tenias tu propia mochila un viaje una mochila
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0046,ok,0.980,126,agarro digo bueno a todo esto aca es donde se empieza a poner linda la cosa para ustedes
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0047,ok,1.000,108,para nosotros nefasta porque empezamos a buscar quien iba a ocupar el lugar de amilcar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0048,ok,1.000,105,para bajar los costos del viaje y juancito dice mi primo se quiere sumar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0049,ok,1.000,104,bueno bien digo que onda tu primo mira digo juancito es un viaje de 36 horas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0050,ok,1.000,114,nosotros nos conocemos podemos viajar pero a este chabon no lo conocemos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0051,ok,1.000,84,o sea es recopado es un genio buena onda chabon
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0052,ok,1.000,139,piola bueno como se llama alan creo que se llamaba me olvide el nombre porque termine tan
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0053,ok,1.000,88,pero tan encabronado con ese chabon que lo aborreci
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0054,ok,1.000,125,cuestion que el loco dice bueno viene alan no se que bueno escuchame todos buscando un gps
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0055,ok,1.000,104,bueno escuchame vamos a buscar un gps a ver quien tiene un gps y salta
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0056,ok,1.000,92,o sea armamos un grupito y salta y dice no no yo tengo gps bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0057,ok,1.000,123,a todo esto luciano que ya habia ido a san pablo a ver a los estudiantes por la copa libertadores
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0058,ok,1.000,101,es ese tipo alarmista que decia yo les voy a aclarar una cosa
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0059,ok,1.000,161,si vamos en auto hay que tener mucho cuidado en san pablo en san pablo te violan te matan violan el cadaver despues desaparecen el cadaver
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0060,ok,1.000,117,vuelven a violarlo una vez que esta en el basurero entonces voy a decir empezo a meter miedo desde el arranque
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0061,ok,1.000,94,entonces ya san pablo era como decir estamos pasando por el infierno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0062,ok,1.000,97,el umbral del infierno es san pablo entonces le digo no creo que sea tan grave luciano
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0063,ok,1.000,81,o sea me meti en google street lo veo las autopistas que vamos a agarrar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0064,ok,1.000,95,no no eso es terrible hay que tener mucho cuidado y que esto que el otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0065,ok,1.000,120,entonces luciano pone en el grupo actualiza el gps porque hicieron autopistas nuevas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0066,ok,1.000,112,que no estan en el viejo en el mapa que te viene con ese gps
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0067,ok,0.992,109,si dice el chaman yo lo actualizo bueno cuestion que nos encontramos yo agarro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0068,ok,1.000,135,no tenia el goltrend mentira tenia un golpower tres puertas que tenia escape silem que sonaba
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0069,ok,0.995,171,o sea ir en ese auto no podia ir a capital le volaba la cabeza a cualquier lo tenia medio pistero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0070,ok,0.991,88,entonces lo dejo dejo mi auto en la casa de mi ex en nuñez
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0071,ok,0.980,84,y todos saliamos desde puente saavedra que estabamos ahi nomas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0072,ok,1.000,190,bueno lulo y yo nos vamos desde la plata y alan y juancito que eran de juancito de lanus y alan de san isidro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0073,ok,1.000,90,nos encontramos en punto medio que era ahi punto puente puente saavedra
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0074,ok,1.000,113,caemos que se yo dice bueno en esa epoca yo estaba mas trastornado que ahora
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0075,ok,1.000,82,era todo tiempo todo el tiempo era asi asi asi asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0076,ok,1.000,134,entonces bueno llegamos cada uno se habia armado su bolsito traemos plata traemos esto traemos lo otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0077,ok,1.000,105,cuando estabamos en por subirnos al auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0078,ok,1.000,107,nos vamos a subir al auto cae nos presenta la primera vez que veiamos al alan real
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0079,ok,1.000,112,proximamente llamado camion de basura todo el trayecto se llamo camion de basura
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0080,ok,1.000,79,despues de un despues de algo estrategico que paso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0081,ok,0.992,109,o sea paso algo que quebro el viaje a lo cual yo lo apode el camion de basura
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0082,ok,1.000,86,y se lo dije o sea despues del viaje se puso returbio pero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0083,ok,0.991,97,ahora es alan despues va a ser el camion de basura entonces agarro nos subimos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0084,ok,1.000,112,y cae alan y dice no yo traje un tupper con unos sanguchitos que preparo mi mama
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0085,ok,1.000,82,es para que lleguemos mas o menos hasta uruguay puerta con brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0086,ok,1.000,102,y podamos con esto tenemos que llegar el chabon saco un tupper con no se
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0087,ok,1.000,109,habia ponele 12 sanguchitos de pan lactal bueno que esto que el otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0088,ok,1.000,102,y adentro de un tupper que persona escuchen esto que persona
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0089,ok,0.854,131,adentro de un tupper guarda un gorrito de argentina entonces el chabon lo veo que viene con un tupper de comida
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0090,ok,1.000,142,y un gorrito adentro entonces juancito le dice por que escuchame hay un gorro adentro del tupper
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0091,ok,1.000,112,ah si si es el gorro de caba la que utilizo yo nunca lo lave y por que lo tenes adentro del tupper
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0092,ok,1.000,87,no no porque lo cuido asi para que no agarre olor bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0093,ok,0.960,105,lo que era para que no agarre olor amigos era una camara al vacio de caca
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0094,ok,1.000,125,o sea era como tener un sorete guardarlo en un tupper y decir hay olor a caca todo el año
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0095,ok,1.000,96,tupper de caca o sea tupper de gorrito con caca entonces entonces
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0096,ok,1.000,103,lo que no nunca lo abrimos el tupper o sea hasta no llegar a brasil no sabiamos de esto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0097,ok,1.000,108,deja el tupper con el gorro que el gorro tenia no se diez años habia el tupper con comida
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0098,ok,1.000,120,bueno subimos a panamericana hablando de las reglas de convivencia
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0099,ok,1.000,127,y demas y que esto que lo otro bueno entonces bueno estabamos ahi en el viaje arrancamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0100,ok,1.000,109,subimos a panamericana si no porque muchachos cuidemos el auto cuidemos esto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0101,ok,1.000,97,no hagamos cagadas nos van a detener en brasil si no no no te lo voy a hablar brasil bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0102,ok,1.000,93,lulo hablando de san pablo lulo hablaba de san pablo todo lo que era era san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0103,ok,1.000,97,hay que tener cuidado en san pablo menos mal que actualizaste el gps porque en san pablo y en san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0104,ok,1.000,110,y en san pablo le digo luciano no quiero escucharte mas hablar de san pablo ya sabemos que en san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0105,ok,1.000,102,nos van a coger violar nos vamos a morir y van a vender los organos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0106,ok,1.000,113,ya esta amigo no metas mas miedo el viaje recien empieza nos hace tomar una losa mala
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0107,ok,1.000,115,a todos que nadie quiere tener una losa mala todavia ni salimos de buenos aires
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0108,ok,1.000,129,bueno no yo aviso porque bueno listo terminamos estabamos yendo a la autopista entonces juancito agarra
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0109,descartado,0.754,0,pum me pone el mas fuerte yo me vuelvo loco y encuentro un casquito de obrero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0110,ok,0.949,114,y estaba el techo abierto y agarre tire el casquito por arriba del ahora si
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0111,ok,0.991,94,pa tiro el casquito por arriba de la ventana del auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0112,ok,0.980,84,sale el casquito volando claro atras venia un auto yo con un tarado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0113,ok,1.000,94,el casquito pa le pegan el parabrisa y el loco se nos pone el lado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0114,ok,1.000,97,no podemos arrancar el viaje asi tiraste un casquito en panamericana o sea amigo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0115,ok,1.000,108,aparte ese casco yo lo uso en el trabajo o sea no podemos arrancar el viaje asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0116,ok,1.000,112,bueno a todo esto luciano dice yo tengo hambre bueno bueno que hay para comer frena a comer algo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0117,ok,1.000,104,no frena a comer algo yo le digo no agarra el tupper de los sandwiches no pero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0118,ok,1.000,114,y ahi empezo el niño racionador ahi alan dice no no no no estos sandwiches son como
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0119,ok,1.000,98,para llegar a la frontera con brasil el en su cabeza imaginaba que esos sandwiches iban a llegar a la frontera con brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0120,ok,1.000,150,bueno no comemos la mitad y despues la otra mitad la comemos amigo cuestion que no habiamos salido de buenos aires
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0121,ok,1.000,93,que ya no quedaba un sandwich nos habiamos comido todos los sandwiches del tupper y el chabon decia
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0122,ok,1.000,109,no porque vamos a preparar esto para todo el viaje nos lo comimos todos son las dos eran las dos de la mañana
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0123,ok,1.000,92,habiamos cenado todos o sea ya pintaba para hacer un viaje distinto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0124,ok,1.000,107,entonces voy a empezar a mostrar imagenes de los personajes este fue el viaje
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0125,descartado,0.146,0,cuando comenzo aca lo tenemos a alan estan juancito y lulo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0126,descartado,0.000,0,estos eran los que ibamos en el auto adentro del 580
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0127,ok,0.885,131,si no quiero perderme detalles porque la verdad es una anecdota muy larga porque fue un viaje extremadamente largo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0128,ok,0.942,116,cuestion que el viaje arranca pasamos zarate entramos uruguay
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0129,ok,1.000,95,lo que se acuerdan que lo que les decian era gente hagan el ingreso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0130,ok,1.000,102,y hagan el egreso porque se comen una multa cuestion que pasamos uruguay
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0131,ok,1.000,112,no se por donde y pasamos bien nos sellan la salida todo bien
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0132,ok,0.962,109,entramos se viene ese viaje a egipto con pimpi con pezzetto y decidi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0133,ok,1.000,102,no pagarlo con el dinero que yo uso mensualmente un amigo me recomendo una pagina
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0134,ok,1.000,100,llamada binomocom es una pagina en la cual ustedes van a predecir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0135,descartado,0.690,0,cual es el valor de una moneda en determinado tiempo ustedes entran a esta pagina
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0136,descartado,0.000,0,binomocom van a tener una cuenta real y una demo en la cual no corren riesgos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0137,descartado,0.000,0,si apuestan y lo que tienen que hacer es una vez que ven la moneda
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0138,descartado,0.000,0,ahi fluctuar decir si va a subir mas que eso o menos que eso en 30 segundos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0139,descartado,0.000,0,o si va a bajar pueden retirar el dinero de mil maneras diversas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0140,descartado,0.000,0,y no tiene comisiones voy a hacer la primera apuesta
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0141,descartado,0.000,0,y voy a decir que va a bajar a partir de este punto aposte 50 dolares
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0142,descartado,0.000,0,gane gane no lo puedo creer voy a realizar otra apuesta y voy a predecir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0143,descartado,0.000,0,que sube ya y ahi esta amigos otra vez acabo de ganar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0144,descartado,0.667,0,uff estoy dulce de eso se trata binomo amigos y les dejo el link
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0145,ok,0.965,120,en la descripcion del video pasense a todo esto siempre recordandole
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0146,ok,0.991,98,luciano diciendole tenemos que entrar y que no se que el gps lo ponen
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0147,ok,0.911,102,y el auto agarro por otro lado entonces claro lo que nosotros no queriamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0148,ok,0.804,123,era entrar por no se donde que era que estaba toda la cola de argentino que tenias para pasar 6 horas con el
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0149,ok,1.000,128,y pasamos por por un lugar no pasaba nada todo esto durmiendo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0150,ok,1.000,94,llegamos a la primer frontera pasamos todo bien todo esto sin dormir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0151,ok,1.000,101,nos ibamos turnando nos ibamos turnando un tiempo adelante uno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0152,ok,1.000,107,o sea eran parejitas juancito y yo adelante manejaba el o manejaba yo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0153,ok,0.957,98,y atras alan y luciano ir adelante era como el premio mayor o sea
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0154,ok,0.969,107,estabas era yo te juro que convenia pagar y viajar adelante que ir atras
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0155,ok,0.873,112,atras ibas en esta posicion amigos asi asi saben lo que es ir asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0156,ok,1.000,112,horas y horas y horas bueno ibamos de parejitas ibamos yendo para brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0157,ok,1.000,127,nos dormimos los que obviamente el que iba adelante tenia que encargarse de que el conductor no se duerma
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0158,ok,1.000,109,acompañante tenia que despertar al conductor en un momento ibamos juancito y yo manejando
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0159,ok,1.000,109,y lulo atras con el con alan cuando estabamos manejando yo escucho que
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0160,ok,1.000,104,el el que empezaba a hacer el camion de basura empieza a hacer ruidos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0161,ok,0.851,101,y hace amigos les juro por mi mama por mi mama
